PeakID (cmd=annotatePeaks.pl lmo2_specific.bed mm10 -annStats lmo2_peaks_annstats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
lmo2_peak_1820	chr9	69128959	69129223	+	106	NA	intron (NM_013646, intron 1 of 10)	intron (NM_013646, intron 1 of 10)	-160750	NM_001289916	19883	Mm.378450	NM_013646	ENSMUSG00000032238	Rora	9530021D13Rik|Nr1f1|ROR1|ROR2|ROR3|nmf267|sg|staggerer|tmgc26	RAR-related orphan receptor alpha	protein-coding
lmo2_peak_1104	chr3	89835463	89835703	+	106	NA	intron (NM_172530, intron 2 of 5)	intron (NM_172530, intron 2 of 5)	4213	NM_172530	214547	Mm.225	NM_172530	ENSMUSG00000046280	She	9430022A14	src homology 2 domain-containing transforming protein E	protein-coding
lmo2_peak_860	chr19	16141971	16142140	+	106	NA	intron (NM_008139, intron 1 of 6)	intron (NM_008139, intron 1 of 6)	9371	NM_008139	14682	Mm.439701	NM_008139	ENSMUSG00000024639	Gnaq	1110005L02Rik|6230401I02Rik|AA408290|AW060788|Dsk1|Dsk10|Galphaq|Gq|GqI	guanine nucleotide binding protein, alpha q polypeptide	protein-coding
lmo2_peak_1546	chr7	112772856	112773071	+	106	NA	intron (NM_001166584, intron 2 of 13)	intron (NM_001166584, intron 2 of 13)	93607	NM_009346	21676	Mm.24685	NM_009346	ENSMUSG00000055320	Tead1	2610024B07Rik|B230114H05Rik|Gtrgeo5|TEAD-1|TEF-1|Tcf13|mTEF-1	TEA domain family member 1	protein-coding
lmo2_peak_1430	chr6	70729261	70729477	+	106	NA	Intergenic	Intergenic	62806	NM_009075	19895	Mm.17905	NM_009075	ENSMUSG00000053604	Rpia	RPI	ribose 5-phosphate isomerase A	protein-coding
lmo2_peak_998	chr2	102037156	102037402	+	106	NA	intron (NM_178886, intron 4 of 5)	MIRb|SINE|MIR	149181	NM_178886	241576	Mm.489740	NM_178886	ENSMUSG00000048058	Ldlrad3	6430500P08|AI194318|Lrad3	low density lipoprotein receptor class A domain containing 3	protein-coding
lmo2_peak_1394	chr6	28424337	28424611	+	106	NA	intron (NM_007480, intron 2 of 5)	intron (NM_007480, intron 2 of 5)	870	NM_007480	11844	Mm.389075	NM_007480	ENSMUSG00000020440	Arf5	-	ADP-ribosylation factor 5	protein-coding
lmo2_peak_1255	chr4	138635915	138636099	+	106	NA	Intergenic	Intergenic	-12015	NM_029401	75718	Mm.251530	NM_029401	ENSMUSG00000028753	Vwa5b1	4931403E03Rik	von Willebrand factor A domain containing 5B1	protein-coding
lmo2_peak_1054	chr2	167374831	167375011	+	106	NA	Intergenic	Intergenic	-25743	NM_019835	56336	Mm.200886	NM_019835	ENSMUSG00000017929	B4galt5	9430078I07Rik|AW049941|AW539721	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5	protein-coding
lmo2_peak_1352	chr5	120294653	120294926	+	106	NA	Intergenic	Intergenic	-137097	NM_008499	16873	Mm.5151	NM_008499	ENSMUSG00000029595	Lhx5	Lim2	LIM homeobox protein 5	protein-coding
lmo2_peak_730	chr17	5794325	5794622	+	106	NA	Intergenic	(CA)n|Simple_repeat|Simple_repeat	-4184	NR_045081	78512	Mm.23696	NR_045079	ENSMUSG00000096965	3300005D01Rik	-	RIKEN cDNA 3300005D01 gene	ncRNA
lmo2_peak_219	chr11	22913821	22914008	+	106	NA	intron (NM_001361661, intron 2 of 2)	intron (NM_001361661, intron 2 of 2)	-53578	NM_001169114	53625	Mm.395495	NM_016888	ENSMUSG00000051650	B3gnt2	AA408337|AA409404|AW260308|B3Galt6|B3gnt1|BGnT-1|BGnT-2|BGnT1|BGnT2|Beta3gnt	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	protein-coding
lmo2_peak_940	chr2	35487166	35487532	+	106	NA	Intergenic	Intergenic	-25900	NM_001145821	14594	Mm.281124	NM_010283	ENSMUSG00000035778	Ggta1	AW108479|GALT|Gal|Ggta|Ggta-1|alpha Gal|alpha3GalT	glycoprotein galactosyltransferase alpha 1, 3	protein-coding
lmo2_peak_394	chr12	105034430	105034761	+	106	NA	intron (NM_028419, intron 1 of 1)	intron (NM_028419, intron 1 of 1)	1977	NM_028419	73046	Mm.29128	NM_028419	ENSMUSG00000021102	Glrx5	-	glutaredoxin 5	protein-coding
lmo2_peak_82	chr1	168313115	168313418	+	106	NA	intron (NM_001291508, intron 2 of 7)	intron (NM_001291508, intron 2 of 7)	118903	NM_008783	18514	Mm.43358	NM_008783	ENSMUSG00000052534	Pbx1	2310056B04Rik|D230003C07Rik|Pbx-1	pre B cell leukemia homeobox 1	protein-coding
lmo2_peak_856	chr19	10431595	10431791	+	106	NA	intron (NM_173068, intron 5 of 10)	intron (NM_173068, intron 5 of 10)	25754	NM_001111140	278795	Mm.490638	NM_001111140	ENSMUSG00000090291	Lrrc10b	Gm705|SerdinR	leucine rich repeat containing 10B	protein-coding
lmo2_peak_326	chr11	120219028	120219226	+	106	NA	Intergenic	Intergenic	12490	NR_151480	102640779	Mm.394084	NM_175248		2900052L18Rik	-	RIKEN cDNA 2900052L18 gene	ncRNA
lmo2_peak_841	chr18	76200589	76200764	+	106	NA	Intergenic	Intergenic	30124	NR_105776	102465184		NR_105776	ENSMUSG00000098276	Mir6358	Gm27830|mmu-mir-6358	microRNA 6358	ncRNA
lmo2_peak_1591	chr8	10946057	10946472	+	104	NA	Intergenic	HAL1ME|LINE|L1	-17807	NR_030715	665306	Mm.358758	NR_030715	ENSMUSG00000038917	3930402G23Rik	-	RIKEN cDNA 3930402G23 gene	ncRNA
lmo2_peak_96	chr1	182817307	182817743	+	100	NA	intron (NM_144796, intron 1 of 7)	intron (NM_144796, intron 1 of 7)	52629	NM_001356463	96935	Mm.331052	NM_144796	ENSMUSG00000038576	Susd4	AI848994|E430021N18Rik|N28096	sushi domain containing 4	protein-coding
lmo2_peak_1858	chr9	115742827	115743143	+	100	NA	Intergenic	Intergenic	-166470	NM_028638	73748	Mm.485018	NM_028638	ENSMUSG00000056880	Gadl1	1110027M19Rik|ADC|CSADC	glutamate decarboxylase-like 1	protein-coding
lmo2_peak_1719	chr8	121334940	121335181	+	100	NA	Intergenic	Intergenic	206894	NM_001357259	76405	Mm.165697	NM_029597	ENSMUSG00000031809	1700018B08Rik	1700084O22Rik	RIKEN cDNA 1700018B08 gene	protein-coding
lmo2_peak_680	chr16	37754483	37754692	+	100	NA	Intergenic	Intergenic	-22468	NM_008047	14314	Mm.182434	NM_008047	ENSMUSG00000022816	Fstl1	AI316791|AW107808|Fstl|TSC-36	follistatin-like 1	protein-coding
lmo2_peak_737	chr17	10390420	10390757	+	96	NA	Intergenic	Intergenic	-65628	NR_077238	319750	Mm.383485	NR_077237	ENSMUSG00000089633	A230009B12Rik	-	RIKEN cDNA A230009B12 gene	ncRNA
lmo2_peak_1704	chr8	117596830	117597093	+	96	NA	intron (NM_172285, intron 20 of 32)	intron (NM_172285, intron 20 of 32)	74586	NM_028725	74032	Mm.296302	NM_028725	ENSMUSG00000034308	Sdr42e1	4632417N05Rik|AI117603	short chain dehydrogenase/reductase family 42E, member 1	protein-coding
lmo2_peak_1121	chr3	105718745	105718952	+	95	NA	3' UTR (NM_175398, exon 2 of 2)	3' UTR (NM_175398, exon 2 of 2)	13390	NM_001163356	109050	Mm.212591	NM_175398	ENSMUSG00000048458	Inka2	6530418L21Rik|Fam212b	inka box actin regulator 2	protein-coding
lmo2_peak_1450	chr6	94300552	94300880	+	95	NA	Intergenic	Intergenic	-16799	NM_001286786	14924	Mm.217216	NM_010367	ENSMUSG00000045095	Magi1	AIP3|BAP1|Baiap1|Gukmi1|MAGI1c|Magi-1|TNRC19|WWP3|mKIAA4129	membrane associated guanylate kinase, WW and PDZ domain containing 1	protein-coding
lmo2_peak_1388	chr5	151726743	151726950	+	95	NA	Intergenic	RLTR1B|LTR|ERV1	-75638	NM_027009	69263	Mm.12553	NM_027009	ENSMUSG00000033970	Rfc3	2810416I22Rik|38kDa|AU022547|Recc3	replication factor C (activator 1) 3	protein-coding
lmo2_peak_1735	chr8	123409180	123409421	+	95	NA	3' UTR (NM_008559, exon 1 of 1)	3' UTR (NM_008559, exon 1 of 1)	2218	NM_008559	17199	Mm.324942	NM_008559	ENSMUSG00000074037	Mc1r	Mcr1|Mshra|Tob|e	melanocortin 1 receptor	protein-coding
lmo2_peak_271	chr11	75270351	75270619	+	95	NA	Intergenic	Intergenic	76492	NM_177708	237847	Mm.82661	NM_177708	ENSMUSG00000045287	Rtn4rl1	Ngr3|Ngrh2|Ngrl2	reticulon 4 receptor-like 1	protein-coding
lmo2_peak_280	chr11	84945067	84945365	+	95	NA	Intergenic	Intergenic	-12538	NM_007607	12351	Mm.1641	NM_007607	ENSMUSG00000000805	Car4	AW456718|Ca4	carbonic anhydrase 4	protein-coding
lmo2_peak_103	chr1	191855502	191855785	+	95	NA	Intergenic	Intergenic	34170	NM_010892	18005	Mm.33773	NM_010892	ENSMUSG00000026622	Nek2	AA617254|C77054	NIMA (never in mitosis gene a)-related expressed kinase 2	protein-coding
lmo2_peak_295	chr11	97446102	97446299	+	95	NA	Intergenic	Intergenic	-3960	NM_021493	58996	Mm.394118	NM_021493	ENSMUSG00000049807	Arhgap23	A330041B18Rik	Rho GTPase activating protein 23	protein-coding
lmo2_peak_689	chr16	56071788	56071957	+	95	NA	intron (NM_001360073, intron 1 of 24)	intron (NM_001360073, intron 1 of 24)	-3532	NM_025483	66315	Mm.255784	NM_025483	ENSMUSG00000052917	Senp7	2410152H17Rik|2810413I22Rik|2900036C23Rik|6030449K19Rik|AI790676	SUMO1/sentrin specific peptidase 7	protein-coding
lmo2_peak_496	chr13	103223200	103223447	+	95	NA	intron (NM_175171, intron 1 of 28)	RMER4B|LTR|ERVK	111169	NM_175171	328329	Mm.202606	NM_175171	ENSMUSG00000034751	Mast4	4930420O11Rik|AI642422|mKIAA0303	microtubule associated serine/threonine kinase family member 4	protein-coding
lmo2_peak_1371	chr5	139804247	139804444	+	94	NA	TTS (NM_144914)	TTS (NM_144914)	8898	NM_144914	231832	Mm.482655	NM_144914	ENSMUSG00000036687	Tmem184a	Sdmg1	transmembrane protein 184a	protein-coding
lmo2_peak_1046	chr2	165197699	165197883	+	94	NA	intron (NM_174988, intron 1 of 11)	intron (NM_174988, intron 1 of 11)	36946	NM_174988	104010	Mm.151819	NM_174988	ENSMUSG00000053166	Cdh22	-	cadherin 22	protein-coding
lmo2_peak_1487	chr6	142879413	142879594	+	94	NA	intron (NM_011374, intron 2 of 4)	intron (NM_011374, intron 2 of 4)	65272	NR_045707	665037	Mm.401493	NR_045707	ENSMUSG00000072683	Gm7457	EG665037	predicted gene 7457	ncRNA
lmo2_peak_626	chr15	80590214	80590402	+	94	NA	intron (NM_001289442, intron 1 of 7)	intron (NM_001289442, intron 1 of 7)	17711	NM_001289442	17444	Mm.12947	NM_010815	ENSMUSG00000042351	Grap2	GRAP-2|GRB2L|GRBLG|GRID|Gads|GrbX|Grf40|GrpL|Mona|P38	GRB2-related adaptor protein 2	protein-coding
lmo2_peak_1210	chr4	111666808	111667148	+	94	NA	Intergenic	Intergenic	-53032	NM_026470	67946	Mm.275526	NM_026470	ENSMUSG00000034401	Spata6	1700062C23Rik|AI790763|Hash|KRP|Mash	spermatogenesis associated 6	protein-coding
lmo2_peak_1786	chr9	56970237	56970463	+	94	NA	exon (NM_178374, exon 4 of 9)	exon (NM_178374, exon 4 of 9)	19442	NM_178374	66069	Mm.220984	NM_178374	ENSMUSG00000055334	Snupn	0610031A09Rik|Rnut1|Snupn1	snurportin 1	protein-coding
lmo2_peak_1773	chr9	32672556	32672724	+	94	NA	Intergenic	Intergenic	-23402	NM_011808	23871	Mm.292415	NM_011808	ENSMUSG00000032035	Ets1	AI196000|AI448617|D230050P06|Ets-1|Tpl1|vs	E26 avian leukemia oncogene 1, 5' domain	protein-coding
lmo2_peak_1309	chr5	43869378	43869573	+	94	NA	intron (NM_007646, intron 1 of 7)	intron (NM_007646, intron 1 of 7)	666	NM_007646	12494	Mm.249873	NM_007646	ENSMUSG00000029084	Cd38	ADPRC 1|Cd38-rs1|I-19	CD38 antigen	protein-coding
lmo2_peak_349	chr12	31087257	31087484	+	94	NA	Intergenic	Intergenic	13402	NM_027828	104943	Mm.248938	NM_027828	ENSMUSG00000036136	Fam110c	9030611O19Rik|AU019489	family with sequence similarity 110, member C	protein-coding
lmo2_peak_258	chr11	65295804	65295970	+	94	NA	Intergenic	Intergenic	-8054	NR_040280	327946	Mm.383301	NR_040280	ENSMUSG00000085162	Gm12295	A730013G04	predicted gene 12295	ncRNA
lmo2_peak_1484	chr6	142757655	142757861	+	94	NA	intron (NM_009908, intron 1 of 7)	intron (NM_009908, intron 1 of 7)	1072	NM_009908	12764	Mm.3820	NM_009908	ENSMUSG00000030282	Cmas	AW208911|CMPNeu5Ac|D6Bwg0250e	cytidine monophospho-N-acetylneuraminic acid synthetase	protein-coding
lmo2_peak_1432	chr6	71661496	71661723	+	94	NA	Intergenic	Intergenic	-28692	NM_001362200	104263	Mm.260479	NM_173001	ENSMUSG00000053470	Kdm3a	1700105C21Rik|C230043E16Rik|JHDM2a|Jmjd1|Jmjd1a|KDM2A|TGSA|Tsga	lysine (K)-specific demethylase 3A	protein-coding
lmo2_peak_1910	chrX	107403542	107403715	+	94	NA	promoter-TSS (NM_008409)	promoter-TSS (NM_008409)	-268	NM_008409	16431	Mm.193	NM_008409	ENSMUSG00000031239	Itm2a	AW108051|Bricd2a|E25|Itm2	integral membrane protein 2A	protein-coding
lmo2_peak_1801	chr9	61666177	61666386	+	94	NA	Intergenic	Intergenic	248229	NM_018853	56040	Mm.3158	NM_018853	ENSMUSG00000007892	Rplp1	2410042H16Rik|Arpp1|C430017H15Rik	ribosomal protein, large, P1	protein-coding
lmo2_peak_172	chr10	87760501	87760705	+	94	NA	Intergenic	Intergenic	-97662	NM_001314010	16000	Mm.268521	NM_010512	ENSMUSG00000020053	Igf1	C730016P09Rik|Igf-1|Igf-I	insulin-like growth factor 1	protein-coding
lmo2_peak_1857	chr9	114503067	114503312	+	94	NA	Intergenic	RMER15|LTR|ERVL	-6645	NM_009916	12773	Mm.1337	NM_009916	ENSMUSG00000047898	Ccr4	C-C CKR-4|CHEMR1|Cmkbr4|LESTR|Sdf1r	chemokine (C-C motif) receptor 4	protein-coding
lmo2_peak_42	chr1	89054388	89054631	+	94	NA	Intergenic	Intergenic	-15906	NM_133816	98402	Mm.170983	NM_133816	ENSMUSG00000036206	Sh3bp4	AI594717|AW227605|BOG25	SH3-domain binding protein 4	protein-coding
lmo2_peak_1235	chr4	127263306	127263640	+	94	NA	Intergenic	L3b|LINE|CR1	19689	NM_030252	80284	Mm.139607	NM_030252	ENSMUSG00000042380	Smim12	BC003266	small integral membrane protein 12	protein-coding
lmo2_peak_1162	chr4	32291584	32291806	+	94	NA	Intergenic	Intergenic	-125740	NM_001109661	12014	Mm.491223	NM_007521	ENSMUSG00000040270	Bach2	E030004N02Rik	BTB and CNC homology, basic leucine zipper transcription factor 2	protein-coding
lmo2_peak_755	chr17	35000479	35000741	+	94	NA	promoter-TSS (NM_011690)	promoter-TSS (NM_011690)	136	NM_033075	110956	Mm.22506	NM_033075		D17H6S56E-5	G7e	DNA segment, Chr 17, human D6S56E 5	protein-coding
lmo2_peak_622	chr15	80116403	80116659	+	94	NA	3' UTR (NM_207708, exon 4 of 4)	3' UTR (NM_207708, exon 4 of 4)	-16615	NM_025609	66513	Mm.288245	NM_025609	ENSMUSG00000022414	Tab1	2310012M03Rik|Map3k7ip1|b2b449Clo	TGF-beta activated kinase 1/MAP3K7 binding protein 1	protein-coding
lmo2_peak_356	chr12	52146684	52146956	+	94	NA	intron (NM_029760, intron 4 of 10)	Lx6|LINE|L1	49074	NM_029760	76826	Mm.244781	NM_029760	ENSMUSG00000035142	Nubpl	2410170E07Rik	nucleotide binding protein-like	protein-coding
lmo2_peak_1172	chr4	45212633	45213045	+	94	NA	intron (NM_001081172, intron 1 of 15)	intron (NM_001081172, intron 1 of 15)	27933	NM_001081172	666060	Mm.24783	NM_001081172	ENSMUSG00000035615	Frmpd1	BC031840|mKIAA0967	FERM and PDZ domain containing 1	protein-coding
lmo2_peak_706	chr16	92493823	92494223	+	94	NA	intron (NM_029740, intron 2 of 2)	intron (NM_029740, intron 2 of 2)	-4124	NM_172469	209195	Mm.44747	NM_172469	ENSMUSG00000022949	Clic6	5730466J16Rik|AL022908|AW045520|CLIC1L	chloride intracellular channel 6	protein-coding
lmo2_peak_1133	chr3	131637649	131637933	+	94	NA	intron (NM_001289478, intron 12 of 12)	intron (NM_001289478, intron 12 of 12)	71759	NM_001289477	23971	Mm.244912	NM_011863	ENSMUSG00000028032	Papss1	AI325286|Asapk|SK1	3'-phosphoadenosine 5'-phosphosulfate synthase 1	protein-coding
lmo2_peak_1142	chr3	145684933	145685311	+	94	NA	Intergenic	Intergenic	-35137	NM_010516	16007	Mm.1231	NM_010516	ENSMUSG00000028195	Ccn1	AI325051|Cyr61|Igfbp10	cellular communication network factor 1	protein-coding
lmo2_peak_180	chr10	105500589	105500903	+	94	NA	intron (NM_177368, intron 1 of 11)	intron (NM_177368, intron 1 of 11)	73733	NM_177368	278279	Mm.25225	NM_177368	ENSMUSG00000036019	Tmtc2	8430438D04Rik|D330034A10Rik	transmembrane and tetratricopeptide repeat containing 2	protein-coding
lmo2_peak_1862	chr9	119795325	119795578	+	94	NA	intron (NM_011887, intron 12 of 26)	intron (NM_011887, intron 12 of 26)	30005	NM_011887	24046	Mm.89981	NM_011887	ENSMUSG00000034115	Scn11a	NSS2|NaN|NaT|NaV1.9|SNS2	sodium channel, voltage-gated, type XI, alpha	protein-coding
lmo2_peak_976	chr2	80369570	80369803	+	94	NA	Intergenic	RMER1C|Other|Other	-21678	NR_040370	100503167	Mm.265892	NR_040370		Gm13752	-	predicted gene 13752	ncRNA
lmo2_peak_393	chr12	105025749	105025922	+	94	NA	Intergenic	Intergenic	5306	NR_037229	100526471		NR_037229	ENSMUSG00000106366	Mir3069	mir-3069|mmu-mir-3069	microRNA 3069	ncRNA
lmo2_peak_1789	chr9	58120509	58120692	+	94	NA	Intergenic	Intergenic	-1777	NM_001166282	382077	Mm.335193	NM_029212	ENSMUSG00000037716	Ccdc33	4930535E21Rik|Gm1117|Tzip1	coiled-coil domain containing 33	protein-coding
lmo2_peak_1460	chr6	113690651	113690884	+	94	NA	intron (NM_001113553, intron 10 of 11)	intron (NM_001113553, intron 10 of 11)	-6283	NM_001033463	381801	Mm.333322	NM_001033463	ENSMUSG00000056952	Tatdn2	AI646012|mKIAA0218	TatD DNase domain containing 2	protein-coding
lmo2_peak_634	chr15	86875757	86875979	+	94	NA	Intergenic	Intergenic	598193	NM_001358062	223754	Mm.28904	NM_145476	ENSMUSG00000051864	Tbc1d22a	BC023106|D15Ertd781e	TBC1 domain family, member 22a	protein-coding
lmo2_peak_1174	chr4	46040723	46040925	+	94	NA	intron (NM_021883, intron 1 of 9)	intron (NM_021883, intron 1 of 9)	1602	NM_021883	21916	Mm.249594	NM_021883	ENSMUSG00000028328	Tmod1	E-Tmod|Tmod	tropomodulin 1	protein-coding
lmo2_peak_1395	chr6	28857580	28857826	+	94	NA	intron (NM_019776, intron 16 of 23)	intron (NM_019776, intron 16 of 23)	-25956	NM_138682	192198	Mm.443660	NM_138682	ENSMUSG00000049939	Lrrc4	MBAG1|NGL-2|NGL2|NLG-2|Nag14	leucine rich repeat containing 4	protein-coding
lmo2_peak_925	chr2	25110939	25111427	+	94	NA	Intergenic	Intergenic	-15978	NM_001163626	241275	Mm.218774	NM_172204	ENSMUSG00000036805	Noxa1	NY-CO-31|SDCCAG31	NADPH oxidase activator 1	protein-coding
lmo2_peak_1440	chr6	86526399	86526642	+	94	NA	promoter-TSS (NM_011865)	promoter-TSS (NM_011865)	-331	NM_011865	23983	Mm.274146	NM_011865	ENSMUSG00000051695	Pcbp1	WBP17|[a]CP-1|alphaCP-1|hnRNP E1|hnRNP-E1	poly(rC) binding protein 1	protein-coding
lmo2_peak_611	chr15	72928760	72929036	+	94	NA	intron (NM_180662, intron 14 of 21)	intron (NM_180662, intron 14 of 21)	-118574	NR_002864	353342	Mm.440245	NR_002864	ENSMUSG00000106847	Peg13	-	paternally expressed 13	ncRNA
lmo2_peak_1434	chr6	72748450	72748671	+	94	NA	intron (NM_009332, intron 3 of 11)	intron (NM_009332, intron 3 of 11)	40485	NM_001079822	21415	Mm.440067	NM_009332	ENSMUSG00000055799	Tcf7l1	Tcf-3|Tcf3|bHLHb21	transcription factor 7 like 1 (T cell specific, HMG box)	protein-coding
lmo2_peak_126	chr10	29684298	29684546	+	94	NA	Intergenic	MLT1H|LTR|ERVL-MaLR	-148555	NM_028351	72780	Mm.45191	NM_028351	ENSMUSG00000019880	Rspo3	2810459H04Rik|AW742308|Cristin1|Thsd2	R-spondin 3	protein-coding
lmo2_peak_1482	chr6	137312321	137312502	+	94	NA	intron (NM_001164401, intron 1 of 25)	RLTR1|LTR|ERV1	60112	NM_011216	19277	Mm.186361	NM_011216	ENSMUSG00000030223	Ptpro	D28|GLEPP1|PTPBK|PTPROt|PTPU2|PTPoc|PTPphi|Ptpn15|R-PTP-O	protein tyrosine phosphatase, receptor type, O	protein-coding
lmo2_peak_1383	chr5	148977707	148977927	+	94	NA	Intergenic	Intergenic	17397	NR_102383	319982	Mm.33303	NR_102383	ENSMUSG00000106951	5930430L01Rik	-	RIKEN cDNA 5930430L01 gene	ncRNA
lmo2_peak_767	chr17	45742820	45743030	+	94	NA	intron (NR_152153, intron 1 of 4)	intron (NR_152153, intron 1 of 4)	8419	NR_152153	433111	Mm.213441	NR_152153	ENSMUSG00000097727	F630040K05Rik	-	RIKEN cDNA F630040K05 gene	ncRNA
lmo2_peak_676	chr16	34031721	34031886	+	94	NA	intron (NM_177357, intron 44 of 59)	intron (NM_177357, intron 44 of 59)	-64765	NM_001348087	22247	Mm.13145	NM_009471	ENSMUSG00000022814	Umps	1700095D23Rik|AA408257|AL033308|BB164745	uridine monophosphate synthetase	protein-coding
lmo2_peak_1136	chr3	138612950	138613327	+	94	NA	Intergenic	Intergenic	85870	NM_001313980	13684	Mm.3941	NM_007917	ENSMUSG00000028156	Eif4e	EG668879|Eif4e-ps|If4e|eIF-4E	eukaryotic translation initiation factor 4E	protein-coding
lmo2_peak_302	chr11	101481043	101481264	+	94	NA	Intergenic	MIR3|SINE|MIR	12978	NM_009708	11858	Mm.378883	NM_009708	ENSMUSG00000001313	Rnd2	Arhn|Rohn|rho7	Rho family GTPase 2	protein-coding
lmo2_peak_939	chr2	34936414	34936689	+	94	NA	Intergenic	Intergenic	-22575	NM_028716	74016	Mm.65691	NM_028716	ENSMUSG00000026873	Phf19	3110009G19Rik|3321402G02Rik	PHD finger protein 19	protein-coding
lmo2_peak_677	chr16	34050218	34050456	+	94	NA	intron (NM_177357, intron 36 of 59)	intron (NM_177357, intron 36 of 59)	-83299	NM_001348087	22247	Mm.13145	NM_009471	ENSMUSG00000022814	Umps	1700095D23Rik|AA408257|AL033308|BB164745	uridine monophosphate synthetase	protein-coding
lmo2_peak_1728	chr8	122322794	122323115	+	94	NA	intron (NM_009569, intron 3 of 9)	intron (NM_009569, intron 3 of 9)	39874	NM_133202	170732	Mm.154808	NM_133202	ENSMUSG00000039079	Trhr2	TRH-R2	thyrotropin releasing hormone receptor 2	protein-coding
lmo2_peak_795	chr17	86185668	86185848	+	94	NA	intron (NM_011104, intron 1 of 14)	intron (NM_011104, intron 1 of 14)	17973	NM_011104	18754	Mm.24614	NM_011104	ENSMUSG00000045038	Prkce	5830406C15Rik|PKC[e]|PKCepsilon|Pkce|R75156	protein kinase C, epsilon	protein-coding
lmo2_peak_589	chr15	38567627	38567828	+	94	NA	intron (NR_045757, intron 2 of 2)	intron (NR_045757, intron 2 of 2)	27207	NR_045757	69679	Mm.416890	NR_045757	ENSMUSG00000102106	2310043O21Rik	-	RIKEN cDNA 2310043O21 gene	ncRNA
lmo2_peak_1363	chr5	130171599	130171807	+	92	NA	promoter-TSS (NM_001199059)	promoter-TSS (NM_001199059)	-116	NM_001199059	56715	Mm.288639	NM_019983	ENSMUSG00000025340	Rabgef1	Rab5ef|Rabex5|Rin2	RAB guanine nucleotide exchange factor (GEF) 1	protein-coding
lmo2_peak_1664	chr8	80493865	80494148	+	92	NA	promoter-TSS (NM_010369)	promoter-TSS (NM_010369)	-39	NM_010369	14934	Mm.13123	NM_010369	ENSMUSG00000051839	Gypa	AI853584|CD235a|GPA	glycophorin A	protein-coding
lmo2_peak_316	chr11	114462982	114463267	+	89	NA	Intergenic	Intergenic	-14264	NR_027643	319819	Mm.50754	NM_177008	ENSMUSG00000062391	4932435O22Rik	-	RIKEN cDNA 4932435O22 gene	ncRNA
lmo2_peak_1699	chr8	114937000	114937243	+	89	NA	intron (NM_019573, intron 8 of 8)	intron (NM_019573, intron 8 of 8)	497469	NM_019573	80707	Mm.440420	NM_019573	ENSMUSG00000004637	Wwox	5330426P09Rik|9030416C10Rik|WOX1	WW domain-containing oxidoreductase	protein-coding
lmo2_peak_1343	chr5	118483579	118483722	+	89	NA	Intergenic	Intergenic	-77069	NM_001347445	76199	Mm.206238	NM_172424	ENSMUSG00000018076	Med13l	2210413I17Rik|6330591G05Rik|9030618F05Rik|Thrap2|Trap240L|mKIAA1025	mediator complex subunit 13-like	protein-coding
lmo2_peak_1413	chr6	37925730	37925995	+	89	NA	intron (NM_001272064, intron 5 of 18)	RLTR18|LTR|ERVK	25375	NM_001272076	21848	Mm.41063	NM_145076	ENSMUSG00000029833	Trim24	A130082H20Rik|AI447469|D430004I05Rik|TIF1|TIF1-alpha|TIF1alpha|Tif1a	tripartite motif-containing 24	protein-coding
lmo2_peak_1257	chr4	139767244	139767390	+	89	NA	intron (NM_011039, intron 7 of 8)	intron (NM_011039, intron 7 of 8)	65651	NM_011039	18509	Mm.218760	NM_011039	ENSMUSG00000028736	Pax7	Pax-7	paired box 7	protein-coding
lmo2_peak_651	chr15	103339474	103339726	+	89	NA	intron (NM_013866, intron 1 of 7)	intron (NM_013866, intron 1 of 7)	486	NM_013866	29813	Mm.14099	NM_013866	ENSMUSG00000000552	Zfp385a	Hzf|Zfp385|Znf385a	zinc finger protein 385A	protein-coding
